Encyonema minutum var. pseudogracilis
Encyonema montana
Encyonema neogracile
Encyonema nicafei
Encyonema norvegicum
Encyonema obscurum
Encyonema paucistriatum
Encyonema pergracile
Encyonema procerum
Encyonema reichardtii
Encyonema reimeri
Encyonema sibericum
Encyonema silesiacum
Encyonema temperei
Encyonema triangulum
Encyonema yellowstonianum
Encyonopsis aequaliformis
Encyonopsis albertana
Encyonopsis alpina
Encyonopsis anacondae
Encyonopsis bobmarshallensis
Encyonopsis cesatiformis
Encyonopsis cesatii
Encyonopsis czarneckii
Encyonopsis dakotae
Encyonopsis descripta
Encyonopsis descriptiformis
Encyonopsis falaisensis
Encyonopsis hustedtii
Encyonopsis krammeri
Encyonopsis kutenaiorum
Encyonopsis lacusalpini
Encyonopsis lacuscaerulei
Encyonopsis medicinalis
Encyonopsis microcephala
Encyonopsis minuta
Encyonopsis montana
Encyonopsis neerlandica
Encyonopsis perborealis
Encyonopsis robusta
Encyonopsis stafsholtii
Encyonopsis subminuta
Encyonopsis thumensis
Entomoneis alata
Entomoneis ornata
Entomoneis paludosa
Entomoneis punctulata
Envekadea metzeltinii
Envekadea pachycephala
Envekadea vanlandinghamii
Eolimna aboensis
Eolimna metafarta
Epithemia adnata
Epithemia alpestris
Epithemia argus
Epithemia gibba
Epithemia gibberula
Epithemia musculus
Epithemia reichelti
Epithemia smithii
Epithemia sorex
Epithemia turgida
Eucocconeis alpestris
Eucocconeis americana
Eucocconeis depressa
Eucocconeis flexella
Eucocconeis laevis
Eunotia areniverma
Eunotia bactriana
Eunotia bidens
Eunotia bidentula
Eunotia bilii
Eunotia bilunaris
Eunotia boomsma
Eunotia canicula
Eunotia cataractarum
Eunotia charliereimeri
Eunotia diadema
Eunotia enischna
Eunotia eruca
Eunotia exigua
Eunotia faba
Eunotia formica
Eunotia gibbosa
Eunotia hexaglyphis
Eunotia horstii
Eunotia incisa
Eunotia kociolekii
Eunotia lewisii
Eunotia macroglossa
Eunotia metamonodon
Eunotia microcephala
Eunotia minor
Eunotia minutula
Eunotia montuosa
Eunotia mucophila
Eunotia mydohaimasiae
Eunotia naegelii
Eunotia novaeangliae
Eunotia nymanniana
Eunotia obliquestriata
Eunotia orthohedra
Eunotia paludosa
Eunotia panda
Eunotia papilioforma
Eunotia pectinalis
Eunotia perpusilla
Eunotia rhomboidea
Eunotia richbuttensis
Eunotia rushforthii
Eunotia sarraceniae
Eunotia serra
Eunotia spatulata
Eunotia subherkiniensis
Eunotia sudetica
Eunotia superbidens
Eunotia tauntoniensis
Eunotia tenella
Eunotia tetraodon
Eunotia trinacria
Eunotia triodon
Eunotia zasuminensis
Eupodiscus radiatus
Fallacia californica
Fallacia hummii
Fallacia latelongitudinalis
Fallacia pygmaea
Fallacia subhamulata
Fallacia tenera
Fallacia vitrea
Fragilaria amphicephaloides
Fragilaria crotonensis
Fragilaria mesolepta
Fragilaria pennsylvanica
Fragilaria recapitellata
Fragilaria socia
Fragilaria synegrotesca
Fragilaria tenera
Fragilaria vaucheriae
Fragilariforma acidobiontica
Fragilariforma bicapitata
Fragilariforma constricta
Fragilariforma horstii
Fragilariforma marylandica
Fragilariforma nitzschioides
Fragilariforma polygonata
Fragilariforma virescens
Frickea lewisiana
Frustulia amosseana
Frustulia amphipleuroides
Frustulia asiatica
Frustulia bahlsii
Frustulia capitata
Frustulia crassinervia
Frustulia creuzburgensis
Frustulia esandalliae
Frustulia inculta
Frustulia krammeri
Frustulia latita
Frustulia neomundana
Frustulia pseudomagaliesmontana
Frustulia quadrisinuata
Frustulia rexii
Frustulia saxonica
Frustulia soror
Frustulia vulgaris
Geissleria acceptata
Geissleria cascadensis
Geissleria decussis
Geissleria ignota
Geissleria kriegeri
Geissleria lateropunctata
Geissleria punctifera
Genkalia digitulus
Gliwiczia calcar
Gomphoneis eriense
Gomphoneis eriense var. angularis
Gomphoneis eriense var. apiculata
Gomphoneis eriense var. variabilis
Gomphoneis herculeana
Gomphoneis herculeana var. abundans
Gomphoneis herculeana var. loweii
Gomphoneis mammilla
Gomphoneis minuta
Gomphoneis oreophila
Gomphoneis pseudo-okunoi
Gomphoneis septa
Gomphoneis trullata
Gomphonella olivacea
Gomphonema acuminatum
Gomphonema amerhombicum
Gomphonema americobtusatum
Gomphonema apicatum
Gomphonema apuncto
Gomphonema brebissonii
Gomphonema californicum
Gomphonema caperatum
Gomphonema christenseni
Gomphonema consector
Gomphonema coronatum
Gomphonema distans
Gomphonema duplipunctatum
Gomphonema eileencoxiae
Gomphonema elongatum
Gomphonema freesei
Gomphonema germainii
Gomphonema gibba
Gomphonema incognitum
Gomphonema insularum
Gomphonema johnsonii
Gomphonema kobayasii
Gomphonema lagenula
Gomphonema louisiananum
Gomphonema manubrium
Gomphonema mehleri
Gomphonema mexicanum
Gomphonema montezumense
Gomphonema nathorstii
Gomphonema olivaceoides var. densestriata
Gomphonema olivaceoides var. hutchinsoniana
Gomphonema parvulum
Gomphonema pseudosphaerophorum
Gomphonema pusillum
Gomphonema pygmaeum
Gomphonema reimeri
Gomphonema sarcophagus
Gomphonema semiapertum
Gomphonema sierranum
Gomphonema sphaerophorum
Gomphonema submehleri
Gomphonema superiorense
Gomphonema truncatum
Gomphonema turgidum
Gomphonema turris
Gomphonema variostriatum
Gomphonema ventricosum
Gomphosinica geitleri
Gomphosphenia grovei
Gomphosphenia lingulatiformis
Gomphosphenia stoermeri
Grunowia sinuata
Grunowia solgensis
Grunowia tabellaria
Gyrosigma acuminatum
Gyrosigma attenuatum
Gyrosigma obscurum
Halamphora coffeaeformis
Halamphora elongata
Halamphora latecostata
Halamphora montana
Halamphora normanii
Halamphora oligotraphenta
Halamphora submontana
Halamphora subtilis
Halamphora thumensis
Halamphora veneta
Hannaea arcus
Hannaea superiorensis
Hippodonta capitata
Hippodonta capitata subsp. iberoamericana
Hippodonta coxiae
Hippodonta gravistriata
Hippodonta hungarica
Hippodonta pseudacceptata
Humidophila contenta
Humidophila pantropica
Humidophila perpusilla
Humidophila schmassmanni
Humidophila undulata
Hydrosera whampoensis
Hygropetra balfouriana
Iconella hibernica
Karayevia amoena
Karayevia clevei
Karayevia laterostrata
Karayevia nitidiformis
Karayevia ploenensis var. gessneri
Karayevia suchlandtii
Kobayasiella jaagii
Kobayasiella micropunctata
Kobayasiella okadae
Kobayasiella parasubtilissima
Kobayasiella subtilissima
Krasskella kriegeriana
Kurtkrammeria aequalis
Kurtkrammeria lacusglacialis
Kurtkrammeria neoamphioxys
Kurtkrammeria stodderi
